iso,App,English,Company,Type
jp,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
jp,foodpanda - Food Delivery,foodpanda - Food Delivery,Foodpanda,Food delivery
jp,マックデリバリー,Mack delivery,日本マクドナルド株式会社,Official(Fast food) resturant delivery
jp,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
jp,foodpanda - Food Delivery,foodpanda - Food Delivery,Foodpanda,Food delivery
jp,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
jp,foodomo美食外送 X 餐廳優惠,foodomo foreign cuisine restaurants offer delivery X,Connection Labs Ltd.,Food delivery
jp,肯德基KFC(官方版)-宅急送外卖无接触配送,KFC KFC (official version) - house emergency food delivery and distribution without contact,"Huansheng E-commerce (Shanghai) Co., Ltd",Official(Fast food) resturant delivery
jp,DoorDash - Food Delivery,DoorDash - Food Delivery,"DoorDash, Inc.",Food delivery
jp,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
jp,goPuff: Drink & Food Delivery,goPuff: Drink & Food Delivery,GoPuff,Food delivery
jp,Grubhub: Local Food Delivery,Grubhub: Local Food Delivery,GrubHub.com,Food delivery
jp,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
jp,Postmates - Food Delivery,Postmates - Food Delivery,Postmates Inc.,Food delivery
jp,Pizza Hut - Delivery & Takeout,Pizza Hut - Delivery & Takeout,"Pizza Hut, Inc.",Official(Fast food) resturant delivery
jp,Slice–Pizza Delivery & Pick Up,Slice–Pizza Delivery & Pick Up,"MyPizza Technologies, Inc",Official(Fast food) resturant delivery
jp,Shipt: Same Day Delivery,Shipt: Same Day Delivery,Shipt,Grocery delivery
jp,Favor: Local Delivery Service,Favor: Local Delivery Service,NeighborFavor Inc.,Food delivery
jp,7NOW: Food & Alcohol Delivery,7NOW: Food & Alcohol Delivery,"7-Eleven, Inc.",Official(Fast food) resturant delivery
jp,Drizly: Local Alcohol Delivery,Drizly: Local Alcohol Delivery,Drizly Inc.,Official(Fast food) resturant delivery
jp,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
jp,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
jp,Just Eat - Food Delivery UK,Just Eat - Food Delivery UK,Just-Eat.com,Food delivery
jp,Foodhub - Online Takeaways,Foodhub - Online Takeaways,FOOD HUB LIMITED,Food delivery
jp,The Midnight Delivery,The Midnight Delivery,Blue-82,Food delivery
jp,foodpanda - Food Delivery,foodpanda - Food Delivery,Foodpanda,Food delivery
jp,DoorDash - Food Delivery,DoorDash - Food Delivery,"DoorDash, Inc.",Food delivery
jp,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
jp,Carriage - Food Delivery,Carriage - Food Delivery,Carriage Holding Company Limited,Food delivery
jp,McDelivery Kuwait,McDelivery Kuwait,Al-Maousherji Catering Co.,Official(Fast food) resturant delivery
jp,"Sushi Shop, livraison de repas","Sushi Shop, meal delivery",Sushi Shop,Official(Fast food) resturant delivery
jp,WhyQ Hawker Delivery,WhyQ Hawker Delivery,WhyQ Pte. Ltd.,Food delivery
jp,Shuttle Delivery,Shuttle Delivery,Shuttle Co Ltd,Food delivery
jp,Cravez - Food Delivery,Cravez - Food Delivery,Cravez,Food delivery
jp,"Sushi Shop, livraison de repas","Sushi Shop, meal delivery",Sushi Shop,Official(Fast food) resturant delivery
jp,"Sushi Shop, livraison de repas","Sushi Shop, meal delivery",Sushi Shop,Official(Fast food) resturant delivery
jp,"Sushi Shop, livraison de repas","Sushi Shop, meal delivery",Sushi Shop,Official(Fast food) resturant delivery
jp,Jeebley - Delivery,Jeebley - Delivery,Jeebley company for general trading WLL,Food delivery
https://www.similarweb.com/ja/apps/top/apple/store-rank/jpiphone/,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,Food delivery
jp,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
https://www.similarweb.com/ja/apps/top/apple/store-rank/jpiphone/,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,Grocery delivery
tw,foodpanda - Food Delivery,foodpanda - Food Delivery,Foodpanda,Food delivery
tw,肯德基KFC(官方版)-宅急送外卖无接触配送,KFC KFC (official version) - house emergency food delivery and distribution without contact,"Huansheng E-commerce (Shanghai) Co., Ltd",Official(Fast food) resturant delivery
tw,foodora - Local Food Delivery,foodora - Local Food Delivery,Foodora GmbH,Food delivery
tw,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
tw,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
tw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
tw,Coupang Eats - Rocket Delivery for Food,Coupang Eats - Rocket Delivery for Food,쿠팡,Food delivery
tw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
tw,Smood – Suisse Food Delivery,Smood – Suisse Food Delivery,SMOOD SA,Food delivery
tw,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
tw,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,Food delivery
tw,Takeaway.com - Schweiz,Takeaway.com - Switzerland,Takeaway.com,Food delivery
tw,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,Food delivery
tw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
tw,Menulog AU - Food Delivery,Menulog AU - Food Delivery,Just-Eat.com,Food delivery
tw,DoorDash - Food Delivery,DoorDash - Food Delivery,"DoorDash, Inc.",Food delivery
tw,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
tw,EASI - 海外最大华人外卖及生活服务平台,EASI - the largest overseas Chinese takeaway and living service platform,EASI Australia Pty Ltd,Food delivery
tw,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
